/Users/shivendra/Desktop/RL_David_Silver/venv/bin/python /Applications/PyCharm.app/Contents/helpers/pydev/pydevconsole.py 59792 59793
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['/Users/shivendra/Desktop/Udacity/AI_Robotics'])
PyDev console: starting.
Python 3.6.5 (v3.6.5:f59c0932b4, Mar 28 2018, 03:03:55) 
[GCC 4.2.1 (Apple Inc. build 5666) (dot 3)] on darwin
runfile('/Users/shivendra/Desktop/RL_David_Silver/Tic-Tac-Toe/comp_vs_comp_training.py', wdir='/Users/shivendra/Desktop/RL_David_Silver/Tic-Tac-Toe')
Rounds done = 0 | Wins = 0 | Losses = 0
Rounds done = 10000 | Wins = 8603 | Losses = 814
Rounds done = 20000 | Wins = 8889 | Losses = 625
Rounds done = 30000 | Wins = 8951 | Losses = 630
Rounds done = 40000 | Wins = 8972 | Losses = 583
Rounds done = 50000 | Wins = 8892 | Losses = 622
Rounds done = 60000 | Wins = 9012 | Losses = 553
Rounds done = 70000 | Wins = 9065 | Losses = 526
Rounds done = 80000 | Wins = 9114 | Losses = 551
Rounds done = 90000 | Wins = 9217 | Losses = 432
Rounds done = 100000 | Wins = 9220 | Losses = 457
Rounds done = 110000 | Wins = 9255 | Losses = 443
Rounds done = 120000 | Wins = 9208 | Losses = 431
Rounds done = 130000 | Wins = 9282 | Losses = 373
Rounds done = 140000 | Wins = 9284 | Losses = 383
Rounds done = 150000 | Wins = 9277 | Losses = 410
Rounds done = 160000 | Wins = 9284 | Losses = 381
Rounds done = 170000 | Wins = 9306 | Losses = 390
Rounds done = 180000 | Wins = 9331 | Losses = 423
Rounds done = 190000 | Wins = 9392 | Losses = 354
Rounds done = 200000 | Wins = 9351 | Losses = 335
Rounds done = 210000 | Wins = 9305 | Losses = 372
Rounds done = 220000 | Wins = 9412 | Losses = 341
Rounds done = 230000 | Wins = 9403 | Losses = 381
Rounds done = 240000 | Wins = 9390 | Losses = 372
Rounds done = 250000 | Wins = 9448 | Losses = 337
Rounds done = 260000 | Wins = 9401 | Losses = 338
Rounds done = 270000 | Wins = 9481 | Losses = 300
Rounds done = 280000 | Wins = 9479 | Losses = 328
Rounds done = 290000 | Wins = 9445 | Losses = 352
Rounds done = 300000 | Wins = 9449 | Losses = 316
Rounds done = 310000 | Wins = 9327 | Losses = 423
Rounds done = 320000 | Wins = 9464 | Losses = 321
Rounds done = 330000 | Wins = 9466 | Losses = 327
Rounds done = 340000 | Wins = 9417 | Losses = 365
Rounds done = 350000 | Wins = 9413 | Losses = 311
Rounds done = 360000 | Wins = 9436 | Losses = 335
Rounds done = 370000 | Wins = 9450 | Losses = 340
Rounds done = 380000 | Wins = 9399 | Losses = 332
Rounds done = 390000 | Wins = 9457 | Losses = 319
Rounds done = 400000 | Wins = 9448 | Losses = 284
Rounds done = 410000 | Wins = 9461 | Losses = 284
Rounds done = 420000 | Wins = 9378 | Losses = 369
Rounds done = 430000 | Wins = 9438 | Losses = 335
Rounds done = 440000 | Wins = 9427 | Losses = 321
Rounds done = 450000 | Wins = 9500 | Losses = 324
Rounds done = 460000 | Wins = 9388 | Losses = 370
Rounds done = 470000 | Wins = 9402 | Losses = 350
Rounds done = 480000 | Wins = 9429 | Losses = 316
Rounds done = 490000 | Wins = 9489 | Losses = 259
Rounds done = 500000 | Wins = 9545 | Losses = 293
Rounds done = 510000 | Wins = 9510 | Losses = 307
Rounds done = 520000 | Wins = 9571 | Losses = 259
Rounds done = 530000 | Wins = 9562 | Losses = 277
Rounds done = 540000 | Wins = 9536 | Losses = 265
Rounds done = 550000 | Wins = 9436 | Losses = 358
Rounds done = 560000 | Wins = 9532 | Losses = 248
Rounds done = 570000 | Wins = 9609 | Losses = 246
Rounds done = 580000 | Wins = 9575 | Losses = 239
Rounds done = 590000 | Wins = 9564 | Losses = 239
Rounds done = 600000 | Wins = 9552 | Losses = 270
Rounds done = 610000 | Wins = 9574 | Losses = 256
Rounds done = 620000 | Wins = 9559 | Losses = 258
Rounds done = 630000 | Wins = 9552 | Losses = 242
Rounds done = 640000 | Wins = 9624 | Losses = 221
Rounds done = 650000 | Wins = 9596 | Losses = 222
Rounds done = 660000 | Wins = 9596 | Losses = 259
Rounds done = 670000 | Wins = 9601 | Losses = 239
Rounds done = 680000 | Wins = 9627 | Losses = 198
Rounds done = 690000 | Wins = 9614 | Losses = 221
Rounds done = 700000 | Wins = 9597 | Losses = 267
Rounds done = 710000 | Wins = 9674 | Losses = 181
Rounds done = 720000 | Wins = 9644 | Losses = 247
Rounds done = 730000 | Wins = 9585 | Losses = 259
Rounds done = 740000 | Wins = 9536 | Losses = 272
Rounds done = 750000 | Wins = 9626 | Losses = 226
Rounds done = 760000 | Wins = 9646 | Losses = 199
Rounds done = 770000 | Wins = 9641 | Losses = 218
Rounds done = 780000 | Wins = 9673 | Losses = 164
Rounds done = 790000 | Wins = 9692 | Losses = 168
Rounds done = 800000 | Wins = 9663 | Losses = 169
Rounds done = 810000 | Wins = 9660 | Losses = 189
Rounds done = 820000 | Wins = 9605 | Losses = 242
Rounds done = 830000 | Wins = 9635 | Losses = 240
Rounds done = 840000 | Wins = 9595 | Losses = 218
Rounds done = 850000 | Wins = 9664 | Losses = 196
Rounds done = 860000 | Wins = 9656 | Losses = 186
Rounds done = 870000 | Wins = 9648 | Losses = 174
Rounds done = 880000 | Wins = 9673 | Losses = 173
Rounds done = 890000 | Wins = 9653 | Losses = 202
Rounds done = 900000 | Wins = 9671 | Losses = 171
Rounds done = 910000 | Wins = 9626 | Losses = 213
Rounds done = 920000 | Wins = 9604 | Losses = 213
Rounds done = 930000 | Wins = 9648 | Losses = 176
Rounds done = 940000 | Wins = 9642 | Losses = 221
Rounds done = 950000 | Wins = 9629 | Losses = 233
Rounds done = 960000 | Wins = 9640 | Losses = 210
Rounds done = 970000 | Wins = 9582 | Losses = 235
Rounds done = 980000 | Wins = 9598 | Losses = 207
Rounds done = 990000 | Wins = 9557 | Losses = 245
Rounds done = 1000000 | Wins = 9609 | Losses = 221
Rounds done = 1010000 | Wins = 9676 | Losses = 182
Rounds done = 1020000 | Wins = 9639 | Losses = 206
Rounds done = 1030000 | Wins = 9643 | Losses = 210
Rounds done = 1040000 | Wins = 9640 | Losses = 238
Rounds done = 1050000 | Wins = 9610 | Losses = 221
Rounds done = 1060000 | Wins = 9648 | Losses = 214
Rounds done = 1070000 | Wins = 9641 | Losses = 213
Rounds done = 1080000 | Wins = 9575 | Losses = 242
Rounds done = 1090000 | Wins = 9630 | Losses = 217
Rounds done = 1100000 | Wins = 9651 | Losses = 217
Rounds done = 1110000 | Wins = 9652 | Losses = 203
Rounds done = 1120000 | Wins = 9669 | Losses = 191
Rounds done = 1130000 | Wins = 9593 | Losses = 223
Rounds done = 1140000 | Wins = 9614 | Losses = 212
Rounds done = 1150000 | Wins = 9571 | Losses = 249
Rounds done = 1160000 | Wins = 9534 | Losses = 219
Rounds done = 1170000 | Wins = 9586 | Losses = 204
Rounds done = 1180000 | Wins = 9593 | Losses = 211
Rounds done = 1190000 | Wins = 9576 | Losses = 192
Rounds done = 1200000 | Wins = 9638 | Losses = 198
Rounds done = 1210000 | Wins = 9678 | Losses = 153
Rounds done = 1220000 | Wins = 9643 | Losses = 209
Rounds done = 1230000 | Wins = 9623 | Losses = 180
Rounds done = 1240000 | Wins = 9539 | Losses = 247
Rounds done = 1250000 | Wins = 9604 | Losses = 222
Rounds done = 1260000 | Wins = 9674 | Losses = 176
Rounds done = 1270000 | Wins = 9647 | Losses = 182
Rounds done = 1280000 | Wins = 9643 | Losses = 192
Rounds done = 1290000 | Wins = 9608 | Losses = 200
Rounds done = 1300000 | Wins = 9598 | Losses = 219
Rounds done = 1310000 | Wins = 9596 | Losses = 193
